chunk_index,document_name,content,chapter_title,section_title,subsection_title,subsubsection_title,header_path,source_markdown,source_document,source_type,source_pdf,embedding_model,vector_dimensions
0,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > BỘ GIAO THÔNG VẬN TẢI TRƯỜNG ĐH GIAO THÔNG VẬN TẢI TP. HỒ CHÍ MINH
CỘNG HOÀ XÃ HỘI CHỦ NGHĨA VIỆT NAM
Độc lập - Tự do - Hạnh phúc",BỘ GIAO THÔNG VẬN TẢI TRƯỜNG ĐH GIAO THÔNG VẬN TẢI TP. HỒ CHÍ MINH,,,,Mạng máy tính và truyền thông dữ liệu > BỘ GIAO THÔNG VẬN TẢI TRƯỜNG ĐH GIAO THÔNG VẬN TẢI TP. HỒ CHÍ MINH,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
1,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 1. Giới thiệu chung > Tên chương trình đào tạo (tiếng Việt):
Mạng máy tính và truyền thông dữ liệu",I. GIỚI THIỆU CHƯƠNG TRÌNH,1. Giới thiệu chung,Tên chương trình đào tạo (tiếng Việt):,,Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 1. Giới thiệu chung > Tên chương trình đào tạo (tiếng Việt):,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
2,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 1. Giới thiệu chung > Tên chương trình đào tạo (tiếng Anh):
Computer networks and Data communication",I. GIỚI THIỆU CHƯƠNG TRÌNH,1. Giới thiệu chung,Tên chương trình đào tạo (tiếng Anh):,,Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 1. Giới thiệu chung > Tên chương trình đào tạo (tiếng Anh):,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
3,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 1. Giới thiệu chung > Trình độ đào tạo:
Đại học chính quy",I. GIỚI THIỆU CHƯƠNG TRÌNH,1. Giới thiệu chung,Trình độ đào tạo:,,Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 1. Giới thiệu chung > Trình độ đào tạo:,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
4,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 1. Giới thiệu chung > Mã ngành đào tạo:
7480102",I. GIỚI THIỆU CHƯƠNG TRÌNH,1. Giới thiệu chung,Mã ngành đào tạo:,,Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 1. Giới thiệu chung > Mã ngành đào tạo:,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
5,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 1. Giới thiệu chung > Loại hình đào tạo:
Đại trà",I. GIỚI THIỆU CHƯƠNG TRÌNH,1. Giới thiệu chung,Loại hình đào tạo:,,Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 1. Giới thiệu chung > Loại hình đào tạo:,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
6,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 1. Giới thiệu chung > Thời gian đào tạo:
4 năm",I. GIỚI THIỆU CHƯƠNG TRÌNH,1. Giới thiệu chung,Thời gian đào tạo:,,Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 1. Giới thiệu chung > Thời gian đào tạo:,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
7,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 1. Giới thiệu chung > Tổng số tín chỉ:
120 tín chỉ (Không bao gồm: Giáo dục Quốc phòng và An ninh, Giáo dục thể chất, kỹ năng mềm, kiến thức bổ trợ khác)",I. GIỚI THIỆU CHƯƠNG TRÌNH,1. Giới thiệu chung,Tổng số tín chỉ:,,Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 1. Giới thiệu chung > Tổng số tín chỉ:,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
8,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 2. Mục tiêu đào tạo > 2.1. Mục tiêu chung
Chương trình đào tạo ngành Mạng máy tính và truyền thông dữ liệu được xây dựng và triển khai nhằm mục tiêu đào tạo cử nhân ngành Mạng máy tính và truyền thông dữ liệu trình độ cao, phục vụ yêu cầu phát triển kinh tế - xã hội Việt Nam, sự nghiệp công nghiệp hóa – hiện đại hóa đất nước, bảo vệ Tổ quốc với bản lĩnh chính trị vững vàng trong bối cảnh cách mạng công nghiệp 4.0, đáp ứng nhu cầu nguồn nhân lực trong lĩnh vực hệ thống kết nối và truyền thông dữ liệu cho xã hội nói chung và cho ngành Giao thông vận tải nói riêng, và hội nhập quốc tế.

Đào tạo người học ở trình độ cử nhân, có kiến thức chuyên môn toàn diện cả về lý thuyết lẫn thực tiễn, áp dụng các hiểu biết về nguyên lý, quy luật tự nhiên – xã hội, pháp luật, các kỹ năng thực hành cơ bản để quản lý, điều hành chuyên môn, có khả năng làm việc độc lập hoặc trong môi trường hoạt động nhóm một cách tự chủ, sáng tạo, có tinh thần khởi nghiệp nhằm khẳng định bản thân.",I. GIỚI THIỆU CHƯƠNG TRÌNH,2. Mục tiêu đào tạo,2.1. Mục tiêu chung,,Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 2. Mục tiêu đào tạo > 2.1. Mục tiêu chung,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
9,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 2. Mục tiêu đào tạo > 2.2. Mục tiêu cụ thể
Sinh viên sau khi tốt nghiệp có các khả năng:",I. GIỚI THIỆU CHƯƠNG TRÌNH,2. Mục tiêu đào tạo,2.2. Mục tiêu cụ thể,,Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 2. Mục tiêu đào tạo > 2.2. Mục tiêu cụ thể,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
10,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 2. Mục tiêu đào tạo > 2.3. Định hướng nghề nghiệp của sinh viên tốt nghiệp
Sinh viên tốt nghiệp ngành MMT&TTDL có thể đạt các vị trí phù hợp, hoạt động trong nền công nghiệp tri thức đang phát triển mạnh mẽ, cả trong các cơ quan quản lý nhà nước lẫn các công ty đa quốc gia:

- Thiết kế và xây dựng, vận hành, kiểm tu, bảo dưỡng, lắp đặt, xử lý ứng cứu thông tin trong các hệ thống mạng truyền thông gồm mạng lõi, mạng vô tuyến.
- Chuyên viên điều hành khai thác/vận hành khai thác mạng viễn thông.
- Chuyên viên IT, quản trị và giám sát an ninh mạng.
- Tư vấn, giám sát thi công các dự án hệ thống mạng thông tin.
- Quản trị dự án hệ thống mạng thông tin.
- Cán bộ chuyên trách tại các cơ quan nhà nước.
- Cán bộ nghiên cứu, cán bộ giảng dạy về công nghệ thông tin tại các Viện, Trung tâm nghiên cứu và các Cơ sở đào tạo.",I. GIỚI THIỆU CHƯƠNG TRÌNH,2. Mục tiêu đào tạo,2.3. Định hướng nghề nghiệp của sinh viên tốt nghiệp,,Mạng máy tính và truyền thông dữ liệu > I. GIỚI THIỆU CHƯƠNG TRÌNH > 2. Mục tiêu đào tạo > 2.3. Định hướng nghề nghiệp của sinh viên tốt nghiệp,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
11,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > II. CHUẨN ĐẦU RA CỦA CHƯƠNG TRÌNH
Chuẩn đầu ra theo Quyết định số 1982/QĐ-TTg, phê duyệt Khung trình độ quốc gia Việt Nam gồm:",II. CHUẨN ĐẦU RA CỦA CHƯƠNG TRÌNH,,,,Mạng máy tính và truyền thông dữ liệu > II. CHUẨN ĐẦU RA CỦA CHƯƠNG TRÌNH,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
12,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT
Định hướng chương trình khung của trường như sau:",III. CHƯƠNG TRÌNH CHI TIẾT,,,,Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
13,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 1. Kiến thức khoa học cơ bản: 29 tín chỉ
- Bắt buộc: 29 tín chỉ
- Tự chọn: 0 tín chỉ",III. CHƯƠNG TRÌNH CHI TIẾT,1. Kiến thức khoa học cơ bản: 29 tín chỉ,,,Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 1. Kiến thức khoa học cơ bản: 29 tín chỉ,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
14,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 1. Kiến thức khoa học cơ bản: 29 tín chỉ > Toán và khoa học tự nhiên – 14 tín chỉ > Đại số
- Mã học phần: 001201
- Số tín chỉ: 2
- Ghi chú: Học phần bắt buộc",III. CHƯƠNG TRÌNH CHI TIẾT,1. Kiến thức khoa học cơ bản: 29 tín chỉ,Toán và khoa học tự nhiên – 14 tín chỉ,Đại số,Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 1. Kiến thức khoa học cơ bản: 29 tín chỉ > Toán và khoa học tự nhiên – 14 tín chỉ > Đại số,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
15,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 1. Kiến thức khoa học cơ bản: 29 tín chỉ > Toán và khoa học tự nhiên – 14 tín chỉ > Giải tích 1
- Mã học phần: 001202
- Số tín chỉ: 3
- Ghi chú: Học phần bắt buộc",III. CHƯƠNG TRÌNH CHI TIẾT,1. Kiến thức khoa học cơ bản: 29 tín chỉ,Toán và khoa học tự nhiên – 14 tín chỉ,Giải tích 1,Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 1. Kiến thức khoa học cơ bản: 29 tín chỉ > Toán và khoa học tự nhiên – 14 tín chỉ > Giải tích 1,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
16,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 1. Kiến thức khoa học cơ bản: 29 tín chỉ > Toán và khoa học tự nhiên – 14 tín chỉ > Giải tích 2
- Mã học phần: 001203
- Số tín chỉ: 3
- Ghi chú: Học phần bắt buộc",III. CHƯƠNG TRÌNH CHI TIẾT,1. Kiến thức khoa học cơ bản: 29 tín chỉ,Toán và khoa học tự nhiên – 14 tín chỉ,Giải tích 2,Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 1. Kiến thức khoa học cơ bản: 29 tín chỉ > Toán và khoa học tự nhiên – 14 tín chỉ > Giải tích 2,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
17,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 1. Kiến thức khoa học cơ bản: 29 tín chỉ > Toán và khoa học tự nhiên – 14 tín chỉ > Toán chuyên đề 1
- Mã học phần: 001205
- Số tín chỉ: 3
- Ghi chú: Học phần bắt buộc",III. CHƯƠNG TRÌNH CHI TIẾT,1. Kiến thức khoa học cơ bản: 29 tín chỉ,Toán và khoa học tự nhiên – 14 tín chỉ,Toán chuyên đề 1,Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 1. Kiến thức khoa học cơ bản: 29 tín chỉ > Toán và khoa học tự nhiên – 14 tín chỉ > Toán chuyên đề 1,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
18,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 1. Kiến thức khoa học cơ bản: 29 tín chỉ > Toán và khoa học tự nhiên – 14 tín chỉ > Nhập môn ngành mạng máy tính và truyền thông dữ liệu
- Mã học phần: 125015
- Số tín chỉ: 3
- Ghi chú: Học phần bắt buộc",III. CHƯƠNG TRÌNH CHI TIẾT,1. Kiến thức khoa học cơ bản: 29 tín chỉ,Toán và khoa học tự nhiên – 14 tín chỉ,Nhập môn ngành mạng máy tính và truyền thông dữ liệu,Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 1. Kiến thức khoa học cơ bản: 29 tín chỉ > Toán và khoa học tự nhiên – 14 tín chỉ > Nhập môn ngành mạng máy tính và truyền thông dữ liệu,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
19,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 1. Kiến thức khoa học cơ bản: 29 tín chỉ > Pháp luật và khoa học xã hội – 13 tín chỉ > Pháp luật đại cương
- Mã học phần: 005004
- Số tín chỉ: 2
- Ghi chú: Học phần bắt buộc",III. CHƯƠNG TRÌNH CHI TIẾT,1. Kiến thức khoa học cơ bản: 29 tín chỉ,Pháp luật và khoa học xã hội – 13 tín chỉ,Pháp luật đại cương,Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 1. Kiến thức khoa học cơ bản: 29 tín chỉ > Pháp luật và khoa học xã hội – 13 tín chỉ > Pháp luật đại cương,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
20,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 1. Kiến thức khoa học cơ bản: 29 tín chỉ > Pháp luật và khoa học xã hội – 13 tín chỉ > Tư tưởng Hồ Chí Minh
- Mã học phần: 005102
- Số tín chỉ: 2
- Ghi chú: Học phần bắt buộc",III. CHƯƠNG TRÌNH CHI TIẾT,1. Kiến thức khoa học cơ bản: 29 tín chỉ,Pháp luật và khoa học xã hội – 13 tín chỉ,Tư tưởng Hồ Chí Minh,Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 1. Kiến thức khoa học cơ bản: 29 tín chỉ > Pháp luật và khoa học xã hội – 13 tín chỉ > Tư tưởng Hồ Chí Minh,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
21,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 1. Kiến thức khoa học cơ bản: 29 tín chỉ > Pháp luật và khoa học xã hội – 13 tín chỉ > Triết học Mác – Lênin
- Mã học phần: 005105
- Số tín chỉ: 3
- Ghi chú: Học phần bắt buộc",III. CHƯƠNG TRÌNH CHI TIẾT,1. Kiến thức khoa học cơ bản: 29 tín chỉ,Pháp luật và khoa học xã hội – 13 tín chỉ,Triết học Mác – Lênin,Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 1. Kiến thức khoa học cơ bản: 29 tín chỉ > Pháp luật và khoa học xã hội – 13 tín chỉ > Triết học Mác – Lênin,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
22,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 1. Kiến thức khoa học cơ bản: 29 tín chỉ > Pháp luật và khoa học xã hội – 13 tín chỉ > Kinh tế chính trị Mác – Lênin
- Mã học phần: 005106
- Số tín chỉ: 2
- Ghi chú: Học phần bắt buộc",III. CHƯƠNG TRÌNH CHI TIẾT,1. Kiến thức khoa học cơ bản: 29 tín chỉ,Pháp luật và khoa học xã hội – 13 tín chỉ,Kinh tế chính trị Mác – Lênin,Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 1. Kiến thức khoa học cơ bản: 29 tín chỉ > Pháp luật và khoa học xã hội – 13 tín chỉ > Kinh tế chính trị Mác – Lênin,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
23,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 1. Kiến thức khoa học cơ bản: 29 tín chỉ > Pháp luật và khoa học xã hội – 13 tín chỉ > Chủ nghĩa xã hội khoa học
- Mã học phần: 005107
- Số tín chỉ: 2
- Ghi chú: Học phần bắt buộc",III. CHƯƠNG TRÌNH CHI TIẾT,1. Kiến thức khoa học cơ bản: 29 tín chỉ,Pháp luật và khoa học xã hội – 13 tín chỉ,Chủ nghĩa xã hội khoa học,Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 1. Kiến thức khoa học cơ bản: 29 tín chỉ > Pháp luật và khoa học xã hội – 13 tín chỉ > Chủ nghĩa xã hội khoa học,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
24,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 1. Kiến thức khoa học cơ bản: 29 tín chỉ > Pháp luật và khoa học xã hội – 13 tín chỉ > Lịch sử Đảng cộng sản Việt Nam
- Mã học phần: 005108
- Số tín chỉ: 2
- Ghi chú: Học phần bắt buộc",III. CHƯƠNG TRÌNH CHI TIẾT,1. Kiến thức khoa học cơ bản: 29 tín chỉ,Pháp luật và khoa học xã hội – 13 tín chỉ,Lịch sử Đảng cộng sản Việt Nam,Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 1. Kiến thức khoa học cơ bản: 29 tín chỉ > Pháp luật và khoa học xã hội – 13 tín chỉ > Lịch sử Đảng cộng sản Việt Nam,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
25,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 1. Kiến thức khoa học cơ bản: 29 tín chỉ > Ngoại ngữ
(theo Quyết định 1203/QĐ-ĐHGTVT ngày 31/12/2019)
Chuẩn đầu ra và chương trình ngoại ngữ trình độ đại học tại Trường Đại học Giao thông vận tải TP. Hồ Chí Minh ban hành kèm theo Quyết định số 670/QĐ-ĐHGTVT ngày 25/9/2020 của Hiệu trưởng Trường",III. CHƯƠNG TRÌNH CHI TIẾT,1. Kiến thức khoa học cơ bản: 29 tín chỉ,Ngoại ngữ,,Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 1. Kiến thức khoa học cơ bản: 29 tín chỉ > Ngoại ngữ,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
26,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 1. Kiến thức khoa học cơ bản: 29 tín chỉ > Tin học
_(theo Quyết định 1201/QĐ-ĐHGTVT ngày 31/12/2019)_",III. CHƯƠNG TRÌNH CHI TIẾT,1. Kiến thức khoa học cơ bản: 29 tín chỉ,Tin học,,Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 1. Kiến thức khoa học cơ bản: 29 tín chỉ > Tin học,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
27,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 1. Kiến thức khoa học cơ bản: 29 tín chỉ > Tin học > Tin học cơ bản
- Mã học phần: 124012
- Số tín chỉ: 2",III. CHƯƠNG TRÌNH CHI TIẾT,1. Kiến thức khoa học cơ bản: 29 tín chỉ,Tin học,Tin học cơ bản,Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 1. Kiến thức khoa học cơ bản: 29 tín chỉ > Tin học > Tin học cơ bản,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
28,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 2. Kiến thức nền tảng kỹ thuật/Kinh tế cốt lõi: 63 tín chỉ
- Bắt buộc: 54 tín chỉ
- Tự chọn: 9 tín chỉ",III. CHƯƠNG TRÌNH CHI TIẾT,2. Kiến thức nền tảng kỹ thuật/Kinh tế cốt lõi: 63 tín chỉ,,,Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 2. Kiến thức nền tảng kỹ thuật/Kinh tế cốt lõi: 63 tín chỉ,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
29,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 2. Kiến thức nền tảng kỹ thuật/Kinh tế cốt lõi: 63 tín chỉ > Kiến thức chung của nhóm ngành: cơ sở ngành – 29 tín chỉ > Cơ sở dữ liệu
- Mã học phần: 121000
- Số tín chỉ: 3
- Ghi chú: Học phần bắt buộc",III. CHƯƠNG TRÌNH CHI TIẾT,2. Kiến thức nền tảng kỹ thuật/Kinh tế cốt lõi: 63 tín chỉ,Kiến thức chung của nhóm ngành: cơ sở ngành – 29 tín chỉ,Cơ sở dữ liệu,Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 2. Kiến thức nền tảng kỹ thuật/Kinh tế cốt lõi: 63 tín chỉ > Kiến thức chung của nhóm ngành: cơ sở ngành – 29 tín chỉ > Cơ sở dữ liệu,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
30,Mạng máy tính và truyền thông dữ liệu,"Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 2. Kiến thức nền tảng kỹ thuật/Kinh tế cốt lõi: 63 tín chỉ > Kiến thức chung của nhóm ngành: cơ sở ngành – 29 tín chỉ > Quản trị doanh nghiệp CNTT
- Mã học phần: 121037
- Số tín chỉ: 2
- Ghi chú: Học phần bắt buộc",III. CHƯƠNG TRÌNH CHI TIẾT,2. Kiến thức nền tảng kỹ thuật/Kinh tế cốt lõi: 63 tín chỉ,Kiến thức chung của nhóm ngành: cơ sở ngành – 29 tín chỉ,Quản trị doanh nghiệp CNTT,Mạng máy tính và truyền thông dữ liệu > III. CHƯƠNG TRÌNH CHI TIẾT > 2. Kiến thức nền tảng kỹ thuật/Kinh tế cốt lõi: 63 tín chỉ > Kiến thức chung của nhóm ngành: cơ sở ngành – 29 tín chỉ > Quản trị doanh nghiệp CNTT,data/processed/Mạng máy tính và truyền thông dữ liệu.md,Mạng máy tính và truyền thông dữ liệu,markdown,data/processed/Mạng máy tính và truyền thông dữ liệu.md,sentence-transformers,1024
